Question,Ground truth,context
What methods were used to ensure the safe handling of diseased coral fragments after removal?,All extracted diseased fragments were immediately quarantined in Ziploc bags at depth following removal and were sterilized with a 5% sodium hypochlorite solution upon return to the laboratory.,"Beurmann et al.: Removal of coral disease lesions
colonies using bone shears. M. capitata has a soft
skeleton, and sections can be removed easily with
minimal harm to the colony. All extracted diseased
fragments were immediately quarantined in Ziploc
bags at depth following removal and were sterilized
with a 5% sodium hypochlorite solution upon return
to the laboratory. The control colonies were left un -
treated. For 24 wk, all colonies were examined weekly
for progressive tissue loss or the development of new
lesions, and all occurrences were photo-documented
(Fig. 2). The complex structure of the M. capitata
colonies precluded the use of digital measurements
to estimate rates of tissue loss. Hence, in situ obser-
vations on the proportion of the colony that was
healthy, diseased, or dead was recorded during each
survey period.
Data analyses
Due to the ordinal nature of the single dependent
variable (tissue loss), and the relatively small and"
How did the researchers monitor the health of the coral colonies over the 24-week period?,"The researchers monitored the health of the coral colonies by examining all colonies weekly for progressive tissue loss or the development of new lesions, and all occurrences were photo-documented. They recorded in situ observations on the proportion of the colony that was healthy, diseased, or dead during each survey period.","Beurmann et al.: Removal of coral disease lesions
colonies using bone shears. M. capitata has a soft
skeleton, and sections can be removed easily with
minimal harm to the colony. All extracted diseased
fragments were immediately quarantined in Ziploc
bags at depth following removal and were sterilized
with a 5% sodium hypochlorite solution upon return
to the laboratory. The control colonies were left un -
treated. For 24 wk, all colonies were examined weekly
for progressive tissue loss or the development of new
lesions, and all occurrences were photo-documented
(Fig. 2). The complex structure of the M. capitata
colonies precluded the use of digital measurements
to estimate rates of tissue loss. Hence, in situ obser-
vations on the proportion of the colony that was
healthy, diseased, or dead was recorded during each
survey period.
Data analyses
Due to the ordinal nature of the single dependent
variable (tissue loss), and the relatively small and"
What challenges did the researchers face in measuring tissue loss in M. capitata colonies?,The researchers faced the challenge that the complex structure of the M. capitata colonies precluded the use of digital measurements to estimate rates of tissue loss.,"Beurmann et al.: Removal of coral disease lesions
colonies using bone shears. M. capitata has a soft
skeleton, and sections can be removed easily with
minimal harm to the colony. All extracted diseased
fragments were immediately quarantined in Ziploc
bags at depth following removal and were sterilized
with a 5% sodium hypochlorite solution upon return
to the laboratory. The control colonies were left un -
treated. For 24 wk, all colonies were examined weekly
for progressive tissue loss or the development of new
lesions, and all occurrences were photo-documented
(Fig. 2). The complex structure of the M. capitata
colonies precluded the use of digital measurements
to estimate rates of tissue loss. Hence, in situ obser-
vations on the proportion of the colony that was
healthy, diseased, or dead was recorded during each
survey period.
Data analyses
Due to the ordinal nature of the single dependent
variable (tissue loss), and the relatively small and"
How does the reduction in photosynthetically active radiation (PAR) with depth affect microborer diversity on mesophotic reefs?,The reduction in photosynthetically active radiation (PAR) with depth helps regulate microborer taxonomy and limits microborer diversity and abundances on mesophotic reefs.,"835
depths. Despite the presence of microborers on mesophotic 
reefs, current data suggest that the reduction in PAR with 
depth (Baker et al. 2016) helps regulate microborer taxonomy 
and limits microborer diversity, abundances (Fig. 43.2), and 
carbonate removal by microbioerosion on mesophotic reefs 
(Budd and Perkins 1980; Perry and Macdonald 2002; V ogel 
et al. 2000; Heindel et al. 2009; Wisshak et al. 2011).
43.2.2  Grazing
External bioerosion trends on mesophotic reefs are mostly 
inferred from indirect estimates such as abundances of herbi-
vores. It is critical to note that not all herbivores actually 
remove carbonate from reef substrate (Bellwood and Choat 
1990). Thus, assumptions regarding bioerosion based on her-
bivore abundances, including those herein, may result in 
overestimates. The following depth-related discussion of 
grazers focuses on the organisms for which the most meso -
photic data are currently available: herbivorous sea urchins 
and fishes."
What are the implications of relying on herbivore abundance estimates for understanding bioerosion on mesophotic reefs?,"Relying on herbivore abundance estimates for understanding bioerosion on mesophotic reefs may result in overestimates of bioerosion. This is because not all herbivores actually remove carbonate from the reef substrate, which means that assumptions made based on herbivore abundances could be misleading.","835
depths. Despite the presence of microborers on mesophotic 
reefs, current data suggest that the reduction in PAR with 
depth (Baker et al. 2016) helps regulate microborer taxonomy 
and limits microborer diversity, abundances (Fig. 43.2), and 
carbonate removal by microbioerosion on mesophotic reefs 
(Budd and Perkins 1980; Perry and Macdonald 2002; V ogel 
et al. 2000; Heindel et al. 2009; Wisshak et al. 2011).
43.2.2  Grazing
External bioerosion trends on mesophotic reefs are mostly 
inferred from indirect estimates such as abundances of herbi-
vores. It is critical to note that not all herbivores actually 
remove carbonate from reef substrate (Bellwood and Choat 
1990). Thus, assumptions regarding bioerosion based on her-
bivore abundances, including those herein, may result in 
overestimates. The following depth-related discussion of 
grazers focuses on the organisms for which the most meso -
photic data are currently available: herbivorous sea urchins 
and fishes."
How do bioerosion rates vary with depth in marine environments?,Bioerosion rates decrease with depth from shallow (<30 m) to mesophotic depths (30–150 m) at least initially (≤3 years).,"832
Bioerosion rates
Bioeroder diversity
External
bioeroders
(grazers)
Shallow reefs
(0-30 m)
Upper mesophotic
(30-60 m)
Lower mesophotic
(60-150 m)
Phototrophic
microborers
Macroborers
Key
Relative bioeroder
dominance
Fig. 43.2 Conceptual diagram indicating general, qualitative depth trends in bioerosion activity based on published literature referenced through-
out the chapter. Overall bioerosion rates decrease with depth from shallow (<30 m) to mesophotic depths (30–150 m) at least initially (≤3 years), 
over the same given timeframe. Reported bioeroder diversity also decreases with depth. This may have a biological basis and/or result from the 
fact that available taxonomic inventories decrease with depth. The relative dominance of the major bioeroding groups (external grazers, photo -
trophic microborers, and macroborers) at shallow, upper, and lower mesophotic reefs are represented by black circles, where the relative impor -"
What factors might contribute to the decrease in bioeroder diversity with increasing depth?,The decrease in bioeroder diversity with increasing depth may have a biological basis and/or result from the fact that available taxonomic inventories decrease with depth.,"832
Bioerosion rates
Bioeroder diversity
External
bioeroders
(grazers)
Shallow reefs
(0-30 m)
Upper mesophotic
(30-60 m)
Lower mesophotic
(60-150 m)
Phototrophic
microborers
Macroborers
Key
Relative bioeroder
dominance
Fig. 43.2 Conceptual diagram indicating general, qualitative depth trends in bioerosion activity based on published literature referenced through-
out the chapter. Overall bioerosion rates decrease with depth from shallow (<30 m) to mesophotic depths (30–150 m) at least initially (≤3 years), 
over the same given timeframe. Reported bioeroder diversity also decreases with depth. This may have a biological basis and/or result from the 
fact that available taxonomic inventories decrease with depth. The relative dominance of the major bioeroding groups (external grazers, photo -
trophic microborers, and macroborers) at shallow, upper, and lower mesophotic reefs are represented by black circles, where the relative impor -"
In what ways do the dominant groups of bioeroders differ between shallow and mesophotic reefs?,"The dominant groups of bioeroders differ between shallow and mesophotic reefs in terms of their relative dominance. In shallow reefs (0-30 m), external grazers are more dominant, while in upper (30-60 m) and lower mesophotic reefs (60-150 m), the relative dominance of phototrophic microborers and macroborers increases. Additionally, overall bioerosion rates and bioeroder diversity decrease with depth from shallow to mesophotic reefs.","832
Bioerosion rates
Bioeroder diversity
External
bioeroders
(grazers)
Shallow reefs
(0-30 m)
Upper mesophotic
(30-60 m)
Lower mesophotic
(60-150 m)
Phototrophic
microborers
Macroborers
Key
Relative bioeroder
dominance
Fig. 43.2 Conceptual diagram indicating general, qualitative depth trends in bioerosion activity based on published literature referenced through-
out the chapter. Overall bioerosion rates decrease with depth from shallow (<30 m) to mesophotic depths (30–150 m) at least initially (≤3 years), 
over the same given timeframe. Reported bioeroder diversity also decreases with depth. This may have a biological basis and/or result from the 
fact that available taxonomic inventories decrease with depth. The relative dominance of the major bioeroding groups (external grazers, photo -
trophic microborers, and macroborers) at shallow, upper, and lower mesophotic reefs are represented by black circles, where the relative impor -"
What role do sponges play in the bioerosion process on mesophotic reefs?,"Sponges are hypothesized to be the main long-term (>5–10 year) agents of bioerosion on lower mesophotic reefs, and this is likely the case on most upper mesophotic reefs as well.","tributors to internal macrobioerosion on most deeper 
(15–50  m) reef fronts (Goreau and Hartman 1963; 
MacGeachy and Stearn 1976; Perry 1998; Grigg 2006; 
Weinstein et  al. 2014;  Perry and Harborne 2016). Furthermore, 
given the general decline of microboring and grazing bioero-
sion with depth (see Sects. 43.2.1 and 43.2.2, respectively), 
we hypothesize that sponges are the main long-term (>5–
10  year) agents of bioerosion on lower mesophotic reefs. 
This is likely the case on most upper mesophotic reefs as well 
(Fig. 43.1e–h). However, since initial (≤3 year) grazing bio-
erosion rates exceeded macroboring rates of shallow coral 
experimental substrates on some upper mesophotic reefs 
(Hassan 1998; Weinstein 2014; Weinstein et al. 2014), there 
is a need for additional research with experimental substrates 
composed of mesophotic coral to test this hypothesis.
Based on the few quantitative studies available, other 
more specific consensus trends cannot be determined for"
How does the depth of a reef affect the rates of microboring and grazing bioerosion?,"The general decline of microboring and grazing bioerosion with depth is noted, indicating that these rates decrease as the depth of the reef increases.","tributors to internal macrobioerosion on most deeper 
(15–50  m) reef fronts (Goreau and Hartman 1963; 
MacGeachy and Stearn 1976; Perry 1998; Grigg 2006; 
Weinstein et  al. 2014;  Perry and Harborne 2016). Furthermore, 
given the general decline of microboring and grazing bioero-
sion with depth (see Sects. 43.2.1 and 43.2.2, respectively), 
we hypothesize that sponges are the main long-term (>5–
10  year) agents of bioerosion on lower mesophotic reefs. 
This is likely the case on most upper mesophotic reefs as well 
(Fig. 43.1e–h). However, since initial (≤3 year) grazing bio-
erosion rates exceeded macroboring rates of shallow coral 
experimental substrates on some upper mesophotic reefs 
(Hassan 1998; Weinstein 2014; Weinstein et al. 2014), there 
is a need for additional research with experimental substrates 
composed of mesophotic coral to test this hypothesis.
Based on the few quantitative studies available, other 
more specific consensus trends cannot be determined for"
What gaps in research are identified regarding bioerosion rates on mesophotic coral substrates?,"There is a need for additional research with experimental substrates composed of mesophotic coral to test the hypothesis regarding bioerosion rates, as initial grazing bioerosion rates exceeded macroboring rates on some upper mesophotic reefs.","tributors to internal macrobioerosion on most deeper 
(15–50  m) reef fronts (Goreau and Hartman 1963; 
MacGeachy and Stearn 1976; Perry 1998; Grigg 2006; 
Weinstein et  al. 2014;  Perry and Harborne 2016). Furthermore, 
given the general decline of microboring and grazing bioero-
sion with depth (see Sects. 43.2.1 and 43.2.2, respectively), 
we hypothesize that sponges are the main long-term (>5–
10  year) agents of bioerosion on lower mesophotic reefs. 
This is likely the case on most upper mesophotic reefs as well 
(Fig. 43.1e–h). However, since initial (≤3 year) grazing bio-
erosion rates exceeded macroboring rates of shallow coral 
experimental substrates on some upper mesophotic reefs 
(Hassan 1998; Weinstein 2014; Weinstein et al. 2014), there 
is a need for additional research with experimental substrates 
composed of mesophotic coral to test this hypothesis.
Based on the few quantitative studies available, other 
more specific consensus trends cannot be determined for"
